Year-End Class Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Grade 3S - Year Based Grading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,January - December 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Coursework Weight,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Exam Weight,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Students,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Average,27.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Year Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health and Family Life Education,,,,,Spelling,,,,,Reading,,,,,Reading Comprehension,,,,,Mathematics,,,,,General Knowledge,,,,,Grammar,,,,,Language Arts,,,,,General Science,,,,,Social Studies,,,,,Agricultural Science,,,,,Home Economics,,,,,
Position,Student,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,Year Average
1,Jane Doe,44.3,26.0,35.2,35.7,35.5,17.5,12.7,31.1,14.3,16.8,23.4,41.1,40.5,14.2,22.5,12.9,17.8,39.0,10.9,15.8,17.9,13.8,14.5,28.3,23.1,16.4,24.3,35.7,35.3,31.4,24.5,37.5,30.0,38.9,35.6,18.7,22.9,30.3,43.1,35.4,31.6,26.6,18.8,19.8,22.1,17.6,44.5,41.0,41.3,38.5,28.5,34.8,20.4,26.9,27.3,15.1,24.7,18.8,13.5,15.9,26.66
2,John Doe,42.2,13.4,38.5,34.5,33.2,13.2,27.0,44.9,44.5,38.0,29.7,37.0,34.8,20.2,25.7,29.2,30.9,23.8,38.7,34.4,25.5,36.2,12.3,25.6,25.2,11.6,32.6,40.5,29.0,28.7,29.8,31.8,18.0,23.5,24.7,30.2,32.6,23.3,26.7,27.5,21.6,29.4,33.7,21.5,24.2,34.0,39.7,28.8,44.3,40.2,20.8,42.2,16.4,22.7,24.2,38.6,11.1,31.5,40.5,35.1,30.09
3,Sarah Williams,43.0,33.9,22.1,21.6,26.2,32.1,12.3,11.0,40.9,31.9,31.9,15.7,25.0,20.1,21.7,40.4,20.0,35.4,36.0,34.4,21.2,18.8,28.2,24.0,23.5,30.8,21.5,37.8,24.7,26.8,14.8,37.1,41.3,33.8,32.7,29.1,40.5,42.7,10.3,21.2,27.1,10.7,21.7,18.5,19.0,26.1,33.7,40.1,19.1,24.8,10.4,45.0,37.4,29.3,30.0,13.9,11.8,42.7,28.5,26.2,26.53
4,James Thompson,40.1,37.4,36.3,38.2,38.1,18.9,18.6,25.2,36.9,30.5,37.8,36.5,30.3,26.7,30.0,16.8,33.3,32.9,28.0,27.9,35.4,44.3,43.0,13.8,24.6,20.1,31.5,34.1,20.0,23.4,42.6,26.1,36.8,11.8,21.1,19.8,10.8,37.7,28.3,26.1,43.3,31.2,21.4,22.5,26.3,23.1,16.9,13.8,32.7,26.8,21.0,25.9,34.8,19.6,22.7,25.4,21.3,21.3,33.3,29.0,27.21
5,Michael Brown,13.4,24.0,13.8,33.4,26.9,20.4,43.8,26.9,33.2,32.1,28.3,38.7,34.5,32.4,33.0,11.1,15.0,36.3,24.4,23.0,44.1,32.3,38.8,36.1,37.0,43.7,33.0,42.8,24.9,30.9,19.4,13.9,18.8,41.3,31.7,33.0,11.5,11.0,26.1,23.1,29.1,22.6,10.7,19.2,19.8,40.7,35.4,38.6,19.4,26.9,33.4,16.9,20.6,43.5,35.6,17.5,20.2,17.6,40.4,31.6,29.3
6,Emily Davis,34.1,30.7,39.8,26.2,29.7,42.1,37.2,20.5,18.3,24.3,28.8,25.6,37.6,32.8,31.9,36.0,31.1,19.2,36.0,33.1,44.4,32.3,34.9,18.2,25.8,14.1,25.7,30.8,35.5,30.7,26.6,29.0,13.1,11.7,16.2,14.3,21.2,18.5,15.0,16.2,21.8,21.8,38.8,42.7,36.6,44.8,35.8,10.4,18.3,23.1,45.0,34.4,40.0,17.0,26.1,18.4,13.4,28.4,22.8,21.7,26.28
7,Robert Johnson,26.5,14.8,10.9,23.5,21.1,42.4,32.8,30.0,12.2,21.3,25.2,22.9,32.1,24.1,25.2,38.1,19.6,35.5,10.2,18.5,15.1,37.9,39.9,20.6,24.7,16.9,43.6,30.7,13.1,20.0,44.6,29.8,20.5,27.7,29.3,22.9,30.2,24.5,23.2,24.3,35.6,20.7,39.1,36.1,34.4,43.0,15.4,40.1,35.0,34.1,16.4,41.9,27.6,16.2,21.2,17.3,45.0,38.1,18.2,24.3,24.87
8,Olivia Martinez,41.2,11.3,34.4,32.2,30.9,40.4,41.8,35.6,39.5,39.4,26.2,42.7,25.0,35.5,33.8,36.3,24.1,38.7,35.1,34.3,15.6,30.6,27.0,30.9,28.3,11.0,34.5,23.9,35.8,30.7,18.4,10.7,26.3,32.4,26.8,37.2,28.9,40.8,15.7,23.7,14.3,24.1,33.0,36.8,31.6,12.3,30.9,22.2,28.5,25.8,13.4,15.6,32.3,21.9,21.3,44.2,27.7,22.2,16.6,22.5,29.09
9,Daniel Lee,28.4,27.9,19.0,43.9,36.4,27.8,37.0,34.0,39.1,36.6,13.6,43.7,30.9,15.8,21.2,30.8,12.0,24.8,13.4,17.1,11.7,25.8,39.4,36.6,32.2,42.7,37.3,31.6,31.1,33.5,43.6,14.5,28.2,29.1,29.0,10.5,40.6,33.8,21.9,24.5,37.8,26.7,35.4,29.2,30.8,40.1,27.7,13.2,36.7,32.8,18.1,30.0,42.7,35.3,33.3,12.4,39.4,43.8,26.3,28.5,29.66
