Year-End Class Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Grade 3S - Year Based Grading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,January - December 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Coursework Weight,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Exam Weight,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Students,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Average,27.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Year Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health and Family Life Education,,,,,Spelling,,,,,Reading,,,,,Reading Comprehension,,,,,Mathematics,,,,,General Knowledge,,,,,Grammar,,,,,Language Arts,,,,,General Science,,,,,Social Studies,,,,,Agricultural Science,,,,,Home Economics,,,,,
Position,Student,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,Year Average
1,Jane Doe,30.3,16.8,43.8,42.3,37.5,26.3,33.2,17.5,17.8,20.9,20.1,34.2,17.4,44.0,36.0,12.5,16.8,13.1,36.9,27.8,22.8,26.5,21.4,32.3,28.8,24.1,17.3,25.1,20.7,21.3,13.9,38.8,33.8,33.3,31.5,40.9,23.8,23.3,24.8,26.6,24.2,33.4,10.2,26.2,24.8,28.7,22.1,10.8,34.7,29.0,10.3,29.8,15.4,11.2,14.1,16.3,12.3,15.3,34.0,26.3,27.05
2,John Doe,35.5,22.7,32.8,26.6,28.1,27.4,40.7,20.9,40.4,36.1,34.2,33.9,10.2,12.9,18.2,11.1,22.1,43.1,40.6,34.5,39.4,14.2,34.7,37.1,34.0,38.3,37.7,14.9,16.3,21.9,37.7,35.8,41.2,25.6,30.7,41.1,14.9,43.5,41.0,37.9,21.8,12.4,29.2,34.1,28.9,22.3,12.0,19.8,38.9,30.6,13.2,42.8,18.8,17.2,20.3,13.9,44.3,41.5,21.2,26.0,28.93
3,Sarah Williams,13.3,32.9,41.1,10.4,17.9,32.2,40.0,26.1,29.9,31.0,38.1,18.3,19.6,33.1,30.0,29.3,28.7,21.7,42.8,36.3,20.1,33.8,41.3,24.0,27.1,11.9,17.7,12.3,15.2,14.7,14.2,22.0,22.9,25.7,23.3,33.3,33.7,34.1,22.8,27.2,33.2,29.2,14.5,29.1,27.7,21.1,33.7,35.7,18.4,23.1,25.2,25.9,20.4,11.4,16.4,11.7,44.7,35.9,25.4,27.5,25.18
4,James Thompson,33.3,19.4,34.9,43.3,37.7,37.1,26.3,44.4,42.3,39.8,12.0,24.4,25.8,19.6,20.1,31.6,15.0,36.2,40.0,35.0,12.2,34.2,19.3,32.3,28.1,34.2,44.2,37.9,21.9,28.6,35.6,15.1,35.0,24.6,26.2,19.3,18.3,17.6,37.9,30.1,13.4,18.1,16.7,15.5,15.7,35.5,30.6,33.3,41.5,38.2,25.7,11.3,16.6,28.1,24.0,35.0,42.1,27.9,17.9,24.7,29.02
5,Michael Brown,30.7,42.7,21.7,42.6,38.2,41.6,30.2,26.8,14.5,21.8,13.9,11.4,31.4,34.9,28.5,44.8,31.1,44.8,24.1,30.6,14.7,12.1,20.1,28.6,23.4,44.5,20.4,18.2,35.3,32.3,23.6,29.5,15.3,39.9,33.1,42.2,36.4,42.7,21.6,29.1,11.1,20.7,41.4,26.4,25.6,17.0,15.3,15.7,25.4,21.6,42.4,40.9,36.5,36.5,37.9,16.7,37.2,17.8,28.4,26.6,29.06
6,Emily Davis,11.2,41.2,14.5,30.7,27.3,33.2,32.5,33.9,22.9,27.0,37.7,42.8,31.6,44.3,41.5,39.7,11.9,33.5,13.2,19.3,33.1,23.0,39.9,11.6,19.8,43.1,11.5,12.0,10.1,14.9,14.4,44.5,39.2,42.1,38.3,16.5,34.1,37.8,35.4,33.0,19.4,44.0,35.5,34.0,33.6,20.0,23.9,36.5,28.1,27.6,27.1,42.2,24.7,40.1,36.6,11.6,28.6,35.0,10.4,16.3,27.93
7,Robert Johnson,34.4,20.0,31.9,31.8,30.6,14.8,43.0,18.5,14.8,19.1,25.5,12.2,13.5,36.7,28.8,13.4,28.9,41.0,25.9,26.6,38.5,39.1,15.8,12.7,20.1,37.4,40.3,39.9,35.0,36.7,27.8,43.5,35.9,36.7,36.3,41.9,11.9,35.9,30.4,30.2,10.4,18.9,35.1,28.5,25.7,29.7,20.1,29.8,40.8,35.1,44.3,29.3,35.6,13.1,22.4,14.9,29.6,38.9,14.2,19.6,27.6
8,Olivia Martinez,15.2,27.5,20.7,14.9,17.4,15.5,24.9,37.7,16.0,20.0,38.2,12.6,18.8,33.4,29.3,10.2,21.3,15.4,18.1,17.1,41.0,15.6,35.2,41.9,37.4,18.6,40.2,21.2,37.0,32.9,30.3,22.3,41.0,34.4,33.1,21.2,30.1,20.3,20.0,21.5,42.8,44.1,15.5,42.1,38.9,35.0,10.4,13.8,25.3,23.1,41.1,40.6,18.8,25.6,28.8,42.4,17.3,13.7,24.5,24.5,27.0
9,Daniel Lee,33.8,40.5,40.7,10.4,21.6,16.1,14.5,30.9,24.2,22.7,42.3,31.5,31.5,34.0,34.4,17.2,41.3,40.1,38.8,36.4,37.4,16.0,11.9,22.8,22.4,35.1,17.0,40.4,40.0,36.3,34.4,26.9,15.3,38.3,33.2,16.0,27.4,36.5,32.2,30.0,18.3,40.8,21.2,24.7,25.5,25.3,34.5,11.4,32.3,28.9,27.1,38.0,22.8,30.0,29.7,43.9,12.0,37.7,26.4,28.3,29.12
