Year-End Class Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Grade 3S - Year Based Grading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,January - December 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Coursework Weight,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Exam Weight,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Students,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Average,61.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Year Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health and Family Life Education,,,,,Spelling,,,,,Reading,,,,,Reading Comprehension,,,,,Mathematics,,,,,General Knowledge,,,,,Grammar,,,,,Language Arts,,,,,General Science,,,,,Social Studies,,,,,Agricultural Science,,,,,Home Economics,,,,,
Position,Student,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,Year Average
1,Levi Parker,94.9,61.1,75.4,85.2,82.0,88.4,97.6,73.9,88.4,87.7,62.0,73.7,59.5,77.0,72.2,73.4,97.8,56.5,71.7,73.4,75.0,97.8,93.5,59.5,71.2,85.9,79.5,99.0,71.1,77.9,72.9,63.5,60.5,93.2,82.2,75.5,84.8,83.9,81.9,81.7,56.0,90.4,66.0,60.7,64.7,80.4,58.1,89.4,64.3,69.0,64.7,94.1,69.8,61.6,67.4,95.5,55.1,93.6,61.5,69.5,74.91
2,Ruby Reed,66.3,62.9,84.7,56.2,62.2,55.7,90.5,65.7,69.6,70.0,62.8,57.4,88.4,78.7,75.0,88.6,76.4,90.0,78.1,80.9,59.9,77.7,97.5,57.0,65.5,90.2,94.0,78.5,75.6,80.4,98.4,57.7,76.6,73.1,74.9,85.9,77.1,95.9,58.3,69.5,58.6,82.4,58.0,67.4,67.0,83.5,79.7,69.6,99.8,90.9,78.9,75.4,82.2,59.5,67.2,86.6,93.4,84.3,89.6,89.0,74.38
3,Isaac Hayes,17.5,25.8,18.0,21.9,21.3,25.9,24.6,13.3,24.9,23.4,33.3,23.1,15.3,42.3,34.9,12.3,39.1,13.3,13.4,16.7,35.9,38.4,29.5,30.5,32.1,29.7,21.5,14.3,22.4,22.2,33.3,36.3,40.4,35.2,35.8,43.9,31.0,22.3,30.2,31.1,17.4,33.0,17.8,13.8,17.4,39.6,22.9,36.7,30.1,31.3,38.3,39.6,44.1,38.6,39.4,31.5,32.5,10.9,42.5,35.5,28.43
4,Luna Foster,19.4,16.3,34.6,20.8,21.9,21.9,10.2,40.4,29.8,27.5,24.0,15.0,32.2,11.1,16.2,36.1,17.5,24.7,21.9,23.6,23.0,35.3,37.2,29.9,30.7,13.0,11.8,15.5,31.6,24.3,33.6,19.5,33.2,27.0,27.7,25.5,19.6,36.4,14.0,19.3,25.0,19.9,33.7,27.0,26.7,33.3,11.6,23.8,31.0,27.8,10.3,20.5,17.4,14.8,15.3,18.9,21.5,10.3,36.1,28.4,24.12
5,Leo Bennett,72.1,86.7,77.5,92.5,87.0,91.3,58.2,93.8,56.9,66.6,55.8,96.5,93.8,80.9,81.4,80.8,86.9,73.8,60.2,68.3,55.9,69.6,91.1,82.8,78.6,92.4,96.4,59.0,93.0,88.8,65.9,81.5,78.6,72.8,73.8,69.0,70.3,70.0,62.6,65.5,78.0,60.1,77.9,95.8,86.3,70.7,87.7,91.9,91.7,88.4,65.6,61.6,63.9,82.1,74.7,89.2,84.5,63.0,89.8,85.4,78.73
6,Ivy Coleman,89.0,89.2,75.2,96.6,91.7,80.4,83.6,83.1,93.9,89.3,83.2,61.8,58.1,74.9,72.0,68.6,67.4,57.5,77.8,72.5,69.0,75.3,57.6,92.4,82.4,58.5,93.9,93.5,82.7,82.4,77.8,75.8,79.9,90.6,85.5,95.3,75.2,91.4,84.3,85.5,69.5,76.4,61.8,57.8,62.4,59.7,95.5,70.5,87.1,82.4,77.7,62.8,66.1,74.7,72.4,74.8,78.5,62.1,71.8,71.8,79.19
7,Elijah Barnes,73.4,70.2,81.9,90.5,84.4,84.1,58.0,59.3,85.5,78.2,67.8,87.6,84.5,95.8,89.5,94.3,70.0,81.2,61.4,69.6,70.7,98.5,86.4,72.6,77.6,81.8,97.2,68.9,72.0,76.3,90.6,91.6,85.2,92.3,91.0,88.2,85.8,78.7,84.1,84.2,74.1,71.3,71.3,63.1,66.8,64.6,97.6,76.9,65.2,71.0,61.2,58.5,93.0,59.6,64.1,89.7,92.6,94.8,56.7,71.0,76.98
8,Stella Ross,89.5,60.9,72.0,62.3,67.0,92.4,89.7,91.4,62.4,73.9,74.7,73.5,85.4,65.7,70.6,75.0,67.8,88.7,75.2,76.0,79.0,68.9,91.4,76.1,77.6,92.6,71.6,97.6,99.3,94.5,75.8,67.7,72.2,78.7,76.0,98.5,91.8,91.1,61.2,74.2,66.3,83.9,94.3,80.0,80.6,59.6,93.1,93.3,67.8,73.5,89.3,67.3,95.7,61.6,70.6,74.7,97.6,65.0,75.3,76.8,75.94
9,Caleb Powell,56.2,57.4,77.6,65.6,64.9,99.8,71.9,56.3,96.9,88.5,92.8,84.2,90.6,61.2,72.4,67.9,92.3,86.3,61.2,69.6,86.7,75.2,55.2,58.6,64.1,66.5,92.6,79.7,87.7,84.5,78.7,60.0,68.0,68.6,68.7,57.1,73.9,90.7,75.6,74.9,60.0,95.7,81.9,55.7,65.1,78.2,65.9,61.5,74.3,72.0,82.7,65.8,73.7,84.9,80.6,58.9,98.9,58.0,78.7,76.0,73.44
