Year-End Class Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Grade 3S - Year Based Grading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,January - December 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Coursework Weight,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Exam Weight,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Students,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Average,42.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Year Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health and Family Life Education,,,,,Spelling,,,,,Reading,,,,,Reading Comprehension,,,,,Mathematics,,,,,General Knowledge,,,,,Grammar,,,,,Language Arts,,,,,General Science,,,,,Social Studies,,,,,Agricultural Science,,,,,Home Economics,,,,,
Position,Student,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,Year Average
1,Ava Parker,10.9,19.6,17.8,35.8,27.9,33.7,41.2,13.0,24.8,26.6,11.0,17.7,27.7,10.9,14.1,17.0,32.7,29.1,17.7,21.1,30.6,38.3,10.2,38.2,33.5,34.4,21.9,15.4,43.5,35.7,21.8,13.2,13.4,39.7,30.3,31.1,38.2,35.5,28.8,31.3,44.1,23.2,29.3,39.0,36.3,31.6,40.2,30.2,34.7,34.4,11.6,18.0,20.1,12.8,14.3,18.1,13.5,19.7,32.2,26.2,27.64
2,Liam Reed,71.7,64.4,67.0,97.1,85.3,84.2,82.4,62.7,87.8,83.3,62.4,72.1,99.5,83.8,81.5,80.1,85.8,92.9,89.9,88.4,65.3,56.4,69.2,67.0,65.7,64.5,97.4,94.4,69.2,75.7,84.5,72.8,96.2,75.6,79.2,66.9,66.1,80.3,66.8,68.5,81.3,95.4,73.0,64.9,72.2,99.9,77.9,59.1,57.1,65.8,59.9,83.2,90.6,74.0,75.6,57.9,72.2,99.8,78.8,77.9,76.59
3,Noah Hayes,40.1,10.4,35.2,33.9,31.8,28.8,19.3,32.4,13.9,19.1,25.2,25.9,43.4,40.7,37.0,19.2,27.5,16.3,41.9,33.5,40.5,20.4,32.4,31.3,31.2,15.3,36.7,28.9,37.3,33.2,28.6,10.0,21.3,10.7,14.4,42.5,40.8,39.1,20.8,28.8,12.0,40.7,43.1,13.0,20.6,27.0,12.4,36.6,36.8,32.2,14.5,26.6,29.2,19.3,21.0,40.5,24.8,17.4,28.9,28.4,27.6
4,Mia Foster,17.0,20.9,44.8,32.7,30.6,25.3,28.1,14.2,17.9,19.8,21.8,30.6,18.1,17.7,20.0,12.5,32.1,18.0,41.7,33.4,40.1,12.5,18.3,33.4,29.5,17.5,14.6,42.7,30.0,28.0,26.5,37.5,38.3,16.7,23.7,13.4,25.1,24.8,26.3,24.2,35.5,33.6,44.4,13.4,23.2,24.1,21.9,40.2,18.7,22.7,16.7,25.7,24.8,19.7,20.8,18.7,42.3,25.5,40.1,35.6,25.96
5,Ethan Bennett,11.8,45.0,39.3,43.9,39.2,42.4,39.7,15.8,27.0,29.3,17.5,24.0,12.1,23.3,21.1,44.5,19.3,37.4,25.9,29.0,24.8,43.5,44.8,29.5,32.8,35.1,15.4,20.4,43.9,35.8,30.3,29.0,36.2,12.0,19.9,30.4,27.6,39.8,15.5,22.3,43.6,12.8,16.5,30.8,28.2,33.6,18.2,14.2,41.2,33.5,18.6,30.8,31.7,24.7,25.6,30.4,28.3,42.7,17.1,23.8,28.38
6,Ella Coleman,18.4,23.9,33.5,20.5,22.4,21.1,36.3,12.5,26.0,24.9,44.9,44.9,12.6,17.5,24.2,19.3,42.7,40.8,40.8,38.2,22.9,15.5,39.2,34.6,31.1,31.4,44.6,32.9,10.3,20.7,38.6,20.5,33.2,42.9,38.0,14.7,14.0,13.7,29.4,23.3,19.5,31.2,35.1,17.1,21.7,32.2,19.2,27.1,41.7,35.5,39.6,13.2,24.8,19.7,22.2,10.1,37.0,32.3,19.2,22.1,27.03
7,Lucas Barnes,29.3,25.0,10.3,12.6,16.2,40.9,41.6,29.1,39.2,38.4,30.4,15.2,14.5,20.8,20.5,41.5,37.9,40.1,41.5,40.8,17.4,18.7,13.6,37.3,29.0,40.9,24.2,31.7,15.4,22.1,42.5,40.3,44.2,38.4,40.0,40.8,10.9,35.8,21.6,24.6,42.6,38.1,40.2,38.4,39.2,19.3,37.6,13.8,40.5,33.7,40.1,17.8,38.6,26.1,28.5,20.7,37.8,18.0,10.8,16.7,29.14
8,Grace Ross,69.8,93.9,98.5,67.6,75.5,83.9,73.0,99.2,79.1,81.6,97.3,60.2,98.7,63.0,72.0,98.3,66.9,59.9,74.6,74.8,87.8,69.1,82.3,78.0,78.7,72.3,80.9,66.5,86.9,81.4,55.1,96.7,79.2,87.4,83.2,88.4,85.2,71.4,58.1,67.5,84.9,69.9,69.1,93.2,85.8,87.4,68.5,68.9,73.4,74.0,73.1,68.3,60.7,73.9,71.3,97.3,85.5,95.6,82.7,86.7,77.71
9,Mason Powell,79.7,55.0,67.9,74.3,71.6,81.1,84.5,75.9,74.9,77.1,64.6,76.3,95.6,90.8,86.0,62.6,58.8,78.2,83.5,76.7,70.1,91.8,88.8,85.3,84.6,65.1,64.0,56.1,66.0,64.3,76.4,93.2,58.3,73.6,74.5,83.3,63.7,86.3,77.2,77.4,66.0,84.5,55.2,88.8,80.7,89.7,59.8,74.1,62.9,67.6,98.1,78.3,57.3,66.2,70.9,93.2,75.5,91.1,85.0,85.6,76.42
10,Chloe Simmons,30.8,43.3,41.2,31.4,34.2,35.2,27.7,39.1,29.2,31.1,41.4,36.0,26.6,19.1,25.3,18.7,32.3,36.8,28.2,28.6,31.9,19.6,12.7,20.0,20.6,19.5,21.2,28.9,14.8,18.2,18.1,34.3,34.7,12.2,18.9,24.3,29.0,24.6,17.2,20.7,24.7,41.7,30.4,34.3,33.5,40.0,36.8,23.3,10.2,19.5,22.3,36.4,39.9,43.4,39.2,24.7,36.2,29.1,31.1,30.7,26.71
