Year-End Class Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Grade 3S - Year Based Grading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,January - December 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Coursework Weight,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Exam Weight,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Students,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Average,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Year Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health and Family Life Education,,,,,Spelling,,,,,Reading,,,,,Reading Comprehension,,,,,Mathematics,,,,,General Knowledge,,,,,Grammar,,,,,Language Arts,,,,,General Science,,,,,Social Studies,,,,,Agricultural Science,,,,,Home Economics,,,,,
Position,Student,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,Year Average
1,Jane Doe,15.2,31.6,15.9,34.9,29.3,31.3,23.5,31.6,29.8,29.4,11.5,28.6,31.7,28.2,26.5,40.8,35.7,23.2,17.9,24.0,14.5,38.4,34.1,31.3,30.4,25.5,27.5,17.8,28.6,26.6,15.1,31.7,32.1,33.5,30.6,18.6,13.2,21.7,34.1,27.6,27.8,36.2,25.1,23.9,26.2,41.8,15.8,17.3,30.6,28.3,32.1,25.1,29.5,25.4,26.8,33.4,41.1,38.9,32.4,34.6,28.36
2,John Doe,26.5,43.2,25.6,31.9,31.8,40.4,33.9,23.7,36.0,34.7,31.0,42.0,31.8,28.7,31.2,44.1,28.5,23.9,42.8,38.5,43.0,16.0,12.5,40.0,33.5,40.9,23.5,18.9,34.0,31.5,42.9,17.5,25.7,33.2,31.4,17.7,24.5,15.0,26.8,23.7,18.0,12.8,23.6,15.3,16.4,14.2,15.3,24.6,21.1,19.9,35.5,24.5,18.5,16.6,20.4,20.4,36.0,17.1,26.3,25.6,28.22
3,Sarah Williams,38.2,39.0,26.2,39.5,37.5,32.5,17.9,13.3,16.0,18.1,37.7,23.6,39.3,43.9,39.8,42.2,26.4,10.3,19.7,22.3,17.7,32.7,34.6,42.3,36.7,34.7,43.6,32.3,26.6,30.7,39.3,19.6,37.2,35.5,34.1,40.3,12.1,16.6,43.2,35.1,15.0,25.8,31.1,26.9,25.7,40.8,43.4,21.9,14.7,23.0,42.0,25.9,18.7,14.8,20.4,10.3,30.4,19.8,29.5,25.8,29.1
4,James Thompson,42.4,27.0,43.4,12.3,22.4,36.5,36.4,43.6,11.1,22.2,27.7,29.5,30.9,26.5,27.6,19.6,41.6,40.7,34.5,34.3,43.6,29.4,12.8,34.3,32.0,13.7,36.3,32.7,17.2,21.3,15.3,12.4,16.2,44.2,32.4,18.0,40.9,14.7,21.9,23.0,26.5,22.5,43.8,18.4,23.4,26.9,17.2,13.8,34.2,28.2,21.9,27.0,34.2,13.1,18.9,11.9,34.1,44.8,10.6,18.5,25.35
5,Michael Brown,25.8,44.8,39.2,44.6,41.4,28.5,44.0,12.0,26.5,27.2,39.7,23.7,25.4,25.7,27.3,23.3,38.5,44.0,18.1,25.0,21.3,38.1,36.0,38.5,35.8,33.9,42.0,39.6,32.2,34.7,19.9,13.0,40.1,40.0,33.7,41.2,19.3,35.8,42.6,38.4,17.2,10.8,16.1,17.7,16.5,33.8,38.7,38.7,34.1,35.3,44.2,44.0,25.4,42.3,40.5,35.2,18.6,30.5,16.0,20.8,31.38
6,Emily Davis,24.0,38.5,10.3,28.8,27.0,25.2,19.9,12.3,28.3,24.6,21.7,13.4,24.1,33.8,28.2,12.8,37.5,12.9,26.5,24.3,22.8,40.0,41.3,35.8,35.4,20.3,21.4,38.9,27.8,27.4,32.2,35.3,16.7,23.5,25.3,43.4,21.6,39.7,15.4,23.2,10.5,27.6,19.9,30.9,26.3,36.9,11.4,27.5,23.1,24.0,41.7,39.5,41.0,36.0,37.9,22.1,31.7,29.0,22.9,24.8,27.37
7,Robert Johnson,20.1,32.7,41.4,18.5,23.7,22.5,15.5,22.8,23.6,22.3,13.3,32.6,22.0,38.2,32.0,18.5,35.7,44.3,15.9,22.7,23.0,44.0,24.1,21.5,25.0,15.4,39.0,21.4,40.8,34.6,29.5,16.3,44.7,41.5,37.0,36.2,31.0,36.4,43.2,39.7,16.9,18.4,36.7,24.6,24.4,44.5,39.2,28.3,15.6,24.3,31.4,31.1,30.3,37.3,34.8,26.7,41.2,30.8,15.6,22.5,28.58
8,Olivia Martinez,38.7,15.9,41.7,42.4,38.3,16.8,17.0,34.6,26.0,24.7,23.1,36.3,21.7,14.6,19.6,29.3,40.7,43.6,13.7,23.4,36.1,21.3,44.0,23.7,27.7,13.6,21.6,28.0,16.2,18.1,36.9,21.5,36.0,18.1,23.4,27.2,33.1,17.2,20.1,22.4,39.4,23.8,22.2,31.6,30.3,34.2,40.2,29.8,39.9,37.8,41.3,42.4,42.2,34.3,37.4,34.4,23.6,13.7,42.3,34.9,28.17
9,Daniel Lee,24.5,21.8,29.2,36.5,32.0,39.0,14.0,37.4,42.9,37.8,44.2,43.0,30.0,41.1,40.3,30.7,39.7,44.6,23.1,29.2,14.3,36.3,42.8,41.7,37.5,26.2,25.7,14.4,39.8,32.7,19.5,14.3,13.6,42.6,31.9,24.5,37.8,12.5,26.8,26.1,36.1,37.0,16.7,26.8,28.1,38.4,42.0,13.3,30.6,30.9,41.1,31.7,37.5,20.4,26.9,27.2,10.5,37.9,29.7,27.9,31.78
