Year-End Class Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Grade 3S - Year Based Grading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,January - December 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Coursework Weight,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Exam Weight,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Students,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Average,28.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Year Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health and Family Life Education,,,,,Spelling,,,,,Reading,,,,,Reading Comprehension,,,,,Mathematics,,,,,General Knowledge,,,,,Grammar,,,,,Language Arts,,,,,General Science,,,,,Social Studies,,,,,Agricultural Science,,,,,Home Economics,,,,,
Position,Student,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,Year Average
1,Jane Doe,40.7,22.2,37.7,43.3,39.4,20.9,36.9,21.7,15.7,20.0,22.2,36.3,15.2,33.1,29.7,22.3,15.9,25.1,23.5,22.5,26.1,40.8,42.2,18.0,25.3,44.6,31.4,43.6,38.6,39.1,28.4,18.8,42.5,45.0,39.0,31.9,14.1,38.8,36.8,33.4,40.8,44.2,44.2,35.8,38.7,23.7,28.6,27.7,36.6,32.6,31.9,38.9,28.0,30.7,31.6,43.7,37.7,42.6,34.5,37.2,32.38
2,John Doe,14.3,24.7,20.2,19.2,19.4,14.4,13.9,26.8,37.4,29.8,40.4,43.9,30.4,10.5,21.6,16.7,12.0,40.4,21.2,21.9,35.3,25.8,30.4,39.8,36.1,33.0,12.6,32.2,22.4,23.8,44.2,19.4,18.5,42.3,36.3,24.5,12.9,37.9,42.2,35.4,27.2,15.9,40.3,21.9,24.3,18.6,11.5,40.8,18.2,20.4,14.2,22.7,34.5,44.9,36.5,17.4,31.6,19.5,40.2,33.3,28.23
3,Sarah Williams,27.1,33.9,39.3,28.7,30.6,26.5,10.3,15.8,34.2,27.5,36.6,30.2,11.7,36.1,32.1,39.7,40.0,36.3,33.2,35.4,22.2,22.7,16.7,32.5,27.7,21.9,38.3,18.1,19.2,22.0,13.0,19.8,37.2,38.9,32.7,42.1,11.2,34.0,29.7,29.5,22.2,42.9,33.9,21.0,25.8,39.1,25.5,26.5,26.7,28.2,26.6,10.9,38.7,20.6,22.5,25.8,16.2,29.9,12.5,17.1,27.59
4,James Thompson,11.0,17.4,40.8,33.9,29.6,35.3,13.2,25.8,35.8,31.4,36.1,25.7,12.7,23.3,23.9,43.2,41.2,31.5,22.3,28.8,31.1,30.1,26.2,39.8,35.5,29.7,13.4,35.6,34.4,31.1,13.6,28.4,44.2,32.7,31.1,33.6,26.7,24.9,44.5,38.1,19.8,26.2,13.3,28.0,24.7,33.2,34.2,44.2,19.2,26.4,17.3,22.5,21.7,42.0,33.4,17.3,26.5,45.0,24.3,26.4,30.03
5,Michael Brown,26.1,24.7,21.3,21.2,22.3,39.3,10.5,12.3,38.2,31.2,35.3,24.9,26.8,26.6,27.6,19.0,25.2,22.5,30.7,27.3,21.8,30.6,11.4,44.6,35.3,10.5,26.5,23.2,14.5,16.7,44.1,25.7,16.5,21.5,24.4,16.6,29.1,44.9,43.7,38.3,18.1,34.8,29.7,36.7,33.0,15.5,11.6,14.2,41.7,30.5,11.9,11.5,26.2,12.1,13.9,16.1,43.4,16.3,36.7,32.1,27.72
6,Emily Davis,39.5,25.9,25.5,17.4,22.6,21.5,28.7,30.0,28.7,27.9,22.7,41.0,26.1,23.3,26.0,26.7,39.5,31.1,36.0,34.6,38.9,22.4,35.3,13.4,20.9,26.9,26.2,23.7,15.8,19.7,38.1,22.0,23.8,14.1,19.6,40.3,40.3,16.4,23.6,27.1,20.0,16.6,39.1,31.5,29.0,41.8,34.1,21.6,37.4,35.4,13.7,30.6,28.0,12.7,17.3,20.1,28.2,14.3,12.9,16.1,24.68
7,Robert Johnson,31.5,44.2,30.5,44.9,41.1,27.0,13.6,15.8,25.9,23.1,40.6,38.4,44.1,30.6,34.8,36.4,29.3,15.8,28.9,28.2,19.7,38.4,38.7,17.8,23.6,14.6,20.1,10.7,16.8,16.1,43.5,42.3,25.2,40.9,39.3,16.7,45.0,30.0,31.4,31.1,19.7,10.2,28.9,32.0,27.0,34.6,37.2,42.4,10.9,21.8,33.8,13.1,39.7,28.6,28.7,10.3,23.9,39.4,41.0,34.4,29.1
8,Olivia Martinez,42.3,28.0,34.0,33.9,34.2,27.3,36.9,15.7,18.1,21.5,31.6,36.1,44.2,12.3,22.3,44.9,20.7,22.8,34.5,32.5,44.7,17.2,23.8,41.5,36.3,39.6,24.5,19.4,38.1,34.0,17.0,22.9,10.5,17.7,17.3,25.7,27.6,36.9,31.6,31.0,18.0,23.9,18.5,14.7,16.9,15.7,43.5,37.9,39.7,36.8,35.2,19.3,36.0,28.9,29.4,37.6,30.3,32.4,14.4,22.0,27.85
9,Daniel Lee,40.2,34.7,29.9,19.0,25.4,33.2,24.5,17.8,36.8,32.1,34.5,38.2,44.8,24.0,30.1,30.9,12.7,33.1,38.8,33.5,24.7,10.7,34.9,23.7,23.6,16.6,36.3,24.3,27.7,26.9,31.0,25.8,33.7,20.1,24.1,18.0,26.3,38.3,21.4,23.9,16.6,19.1,22.3,15.0,16.7,26.4,30.2,44.8,13.2,21.4,19.3,15.5,23.2,40.0,31.7,15.7,27.9,24.9,39.5,32.8,26.85
