Year-End Class Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Grade 3S - Year Based Grading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,January - December 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Coursework Weight,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Exam Weight,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Students,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Average,63.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Year Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health and Family Life Education,,,,,Spelling,,,,,Reading,,,,,Reading Comprehension,,,,,Mathematics,,,,,General Knowledge,,,,,Grammar,,,,,Language Arts,,,,,General Science,,,,,Social Studies,,,,,Agricultural Science,,,,,Home Economics,,,,,
Position,Student,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,Year Average
1,Logan Parker,64.9,74.6,56.3,70.1,68.2,85.6,73.2,62.4,76.0,75.1,60.7,83.0,56.2,72.7,70.3,80.4,56.2,83.9,61.1,66.1,75.8,57.3,72.1,64.5,66.1,69.7,89.3,72.1,88.8,84.1,92.4,66.4,58.7,55.9,62.5,79.3,100.0,70.7,84.3,83.9,90.2,84.3,88.9,97.7,93.7,64.0,55.9,61.9,60.7,60.7,85.1,80.4,64.8,86.5,82.6,89.5,62.6,82.3,88.7,84.5,74.82
2,Zoe Reed,91.9,98.4,59.9,56.2,67.1,69.0,85.5,98.1,72.8,77.4,87.2,58.4,86.1,83.2,80.8,59.6,89.8,93.3,82.0,81.6,60.4,99.3,90.2,70.6,75.7,74.3,71.7,77.8,70.4,72.1,93.2,92.0,59.7,98.2,91.6,83.6,92.3,86.8,74.6,79.8,88.0,98.4,67.2,91.4,88.7,79.2,76.8,74.6,87.9,83.5,67.1,93.3,92.4,58.9,69.0,94.7,66.0,75.9,82.5,81.0,79.02
3,Henry Hayes,56.3,93.3,63.2,64.5,67.1,90.9,70.3,94.6,86.6,86.1,67.4,55.5,97.7,58.9,64.8,87.4,77.0,89.1,86.1,85.5,84.1,77.1,90.7,59.2,69.1,65.0,86.1,68.8,81.2,78.0,76.3,78.9,74.1,88.6,83.7,69.9,86.6,67.2,66.3,69.6,60.4,63.7,60.4,79.1,72.1,89.3,63.3,64.7,76.8,75.1,87.6,98.9,78.6,67.7,76.0,59.5,63.7,65.2,63.1,63.0,74.17
4,Layla Foster,79.0,67.3,98.8,79.9,80.6,86.4,60.7,94.1,77.1,78.4,94.3,80.8,76.1,74.8,78.4,63.3,57.3,97.3,76.5,75.0,92.0,73.0,58.3,83.3,79.8,57.4,61.7,80.3,68.7,67.8,99.7,60.3,89.4,82.3,82.6,90.6,65.2,78.5,75.3,76.4,74.9,93.7,99.6,68.7,77.0,82.9,82.4,88.3,97.6,92.4,64.4,64.5,84.7,62.1,65.7,62.8,58.4,55.1,75.3,68.7,76.9
5,Owen Bennett,20.2,18.1,34.7,34.6,30.5,25.9,34.1,42.3,37.6,36.2,31.9,33.1,42.7,24.9,29.3,29.1,32.7,41.8,38.9,37.2,12.5,15.8,20.8,36.2,28.3,29.9,20.1,14.4,34.1,29.0,34.5,43.0,27.5,27.3,30.4,12.8,11.4,25.1,21.3,19.4,18.8,13.2,43.7,39.3,33.7,30.1,43.3,45.0,33.5,35.9,19.4,11.4,36.5,26.5,24.9,32.8,42.1,16.4,30.5,30.5,30.44
6,Nora Coleman,27.2,13.2,22.2,21.7,21.4,33.5,40.0,21.5,34.3,33.2,20.1,43.1,38.5,29.3,31.1,25.9,21.0,21.3,44.0,35.5,24.1,28.0,44.6,33.0,32.7,29.0,24.5,16.6,22.7,23.0,36.5,31.9,36.6,17.1,24.3,29.2,42.5,25.3,34.4,33.6,14.2,44.1,31.3,18.4,23.0,15.5,29.3,29.3,13.3,17.9,44.7,42.0,26.2,14.1,23.5,39.1,27.4,35.1,27.8,30.2,27.45
7,Wyatt Barnes,92.6,99.1,66.0,79.8,82.2,72.3,96.5,77.9,94.6,89.7,93.9,67.4,90.6,73.7,77.8,97.0,77.8,91.9,67.7,76.2,68.4,81.4,100.0,77.0,79.5,61.7,79.2,70.5,79.8,76.1,79.5,75.5,69.5,63.5,68.0,86.4,80.7,65.5,89.9,85.0,57.0,88.5,86.7,91.5,85.9,72.4,84.9,91.9,99.1,92.7,77.3,56.7,77.6,81.6,77.2,94.1,94.3,74.8,78.7,82.3,81.05
8,Hazel Ross,87.5,73.4,84.5,61.9,69.9,76.1,98.6,70.2,86.2,84.4,84.2,93.3,93.4,93.7,92.3,72.1,69.2,87.3,89.2,84.0,94.3,56.6,58.1,83.4,77.9,96.4,99.9,88.6,74.5,82.7,59.4,83.5,94.3,75.0,76.6,86.2,95.7,57.1,90.8,86.3,68.2,71.9,61.6,78.9,74.2,80.5,90.7,62.6,58.6,66.3,94.2,82.9,65.8,96.1,90.0,61.4,75.8,66.4,66.5,67.0,79.3
9,Julian Powell,91.2,95.6,85.5,62.1,73.6,74.9,70.6,81.4,83.8,80.5,74.1,66.3,93.0,64.0,69.5,72.3,76.7,65.7,80.7,77.0,80.9,99.7,68.3,99.0,92.6,84.6,67.4,80.5,85.9,82.5,88.5,57.2,82.3,77.4,76.8,95.7,67.9,90.9,82.3,83.3,70.9,83.6,82.9,85.5,83.0,87.4,84.7,92.7,83.3,85.3,95.7,84.1,68.9,74.8,78.0,81.1,88.0,59.1,68.3,71.4,79.46
